iter	Passed	Remaining
1088	32960	332
1089	32989	302
1090	33021	272
1091	33049	242
1092	33079	211
1093	33106	181
1094	33132	151
1095	33159	121
1096	33182	90
1097	33210	60
1098	33237	30
1099	33264	0
